Format Version,1.23,Take Name,Paola_pasillo_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2022-10-14 05.37.29.050 P. M.,Total Frames in Take,1773,Total Exported Frames,1773,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
27,0.270000,-0.097966,0.854685,1.170425,-0.188001,0.685262,1.243058,-0.153624,0.278637,1.266195,-0.047346,0.048166,1.342921,-0.118536,0.435369,1.249051,-0.097091,0.070533,1.283150,-0.093135,0.053391,1.151612,0.165507,0.845506,1.196736,0.221475,0.690944,1.274361,0.171924,0.252093,1.311857,0.052434,0.048889,1.372248,0.146623,0.430079,1.284973,0.108104,0.069611,1.329558,0.099733,0.050358,1.181755,0.009660,0.894998,1.374287
28,0.280000,-0.098945,0.854350,1.169946,-0.188854,0.684906,1.242838,-0.153900,0.278179,1.266477,-0.047294,0.048030,1.342827,-0.119138,0.435089,1.249580,-0.097179,0.070465,1.283110,-0.092968,0.052720,1.151480,0.164355,0.845632,1.196336,0.220496,0.691092,1.273949,0.171494,0.252281,1.311677,0.052438,0.048914,1.372258,0.145906,0.430204,1.284561,0.108054,0.069639,1.329526,0.099779,0.050378,1.181750,0.008449,0.894958,1.373822
29,0.290000,-0.099896,0.854049,1.169482,-0.189726,0.684563,1.242613,-0.154193,0.277835,1.266785,-0.047268,0.047919,1.342755,-0.119779,0.434844,1.250081,-0.097388,0.070487,1.283136,-0.092873,0.052081,1.151394,0.163138,0.845758,1.195933,0.219475,0.691248,1.273509,0.171020,0.252493,1.311437,0.052418,0.048943,1.372248,0.145108,0.430328,1.284050,0.107990,0.069676,1.329483,0.099816,0.050404,1.181734,0.007206,0.894923,1.373370
30,0.300000,-0.100942,0.853808,1.168994,-0.190822,0.684370,1.242457,-0.154521,0.277586,1.267121,-0.047258,0.047841,1.342699,-0.120459,0.434629,1.250538,-0.097670,0.070554,1.283208,-0.092864,0.051532,1.151333,0.161867,0.845890,1.195530,0.218411,0.691413,1.273039,0.170509,0.252738,1.311148,0.052348,0.048955,1.372186,0.144243,0.430457,1.283457,0.107913,0.069729,1.329434,0.099867,0.050490,1.181731,0.005926,0.894897,1.372941
31,0.310000,-0.102139,0.853645,1.168467,-0.191878,0.684148,1.242228,-0.154898,0.277402,1.267490,-0.047257,0.047780,1.342646,-0.121182,0.434438,1.250943,-0.097895,0.070571,1.283273,-0.092897,0.051084,1.151284,0.160553,0.846035,1.195134,0.217297,0.691583,1.272545,0.169964,0.253015,1.310823,0.052255,0.048981,1.372105,0.143329,0.430600,1.282797,0.107825,0.069800,1.329380,0.099926,0.050647,1.181740,0.004604,0.894877,1.372541
32,0.320000,-0.103484,0.853560,1.167902,-0.192894,0.683893,1.241925,-0.155320,0.277260,1.267887,-0.047255,0.047714,1.342579,-0.121955,0.434263,1.251295,-0.098007,0.070497,1.283307,-0.092945,0.050728,1.151242,0.159204,0.846194,1.194755,0.216130,0.691759,1.272039,0.169391,0.253318,1.310470,0.052163,0.049039,1.372030,0.142380,0.430753,1.282079,0.107728,0.069884,1.329322,0.100014,0.050880,1.181763,0.003239,0.894850,1.372167
33,0.330000,-0.104975,0.853557,1.167290,-0.194110,0.683758,1.241670,-0.155775,0.277141,1.268296,-0.047255,0.047636,1.342505,-0.122784,0.434102,1.251596,-0.098020,0.070338,1.283309,-0.093003,0.050442,1.151208,0.157821,0.846357,1.194405,0.214916,0.691939,1.271533,0.168796,0.253639,1.310096,0.052073,0.049110,1.371955,0.141400,0.430903,1.281316,0.107628,0.069976,1.329259,0.100119,0.051141,1.181776,0.001832,0.894803,1.371818
34,0.340000,-0.106543,0.853618,1.166647,-0.195284,0.683567,1.241339,-0.156259,0.277013,1.268712,-0.047260,0.047539,1.342427,-0.123658,0.433948,1.251850,-0.097932,0.070090,1.283274,-0.093061,0.050205,1.151182,0.156408,0.846522,1.194086,0.213662,0.692112,1.271035,0.168189,0.253962,1.309708,0.051980,0.049175,1.371871,0.140396,0.431039,1.280523,0.107530,0.070065,1.329192,0.100181,0.051325,1.181742,0.000385,0.894727,1.371493
35,0.350000,-0.108043,0.853712,1.166018,-0.196396,0.683297,1.240921,-0.156767,0.276862,1.269111,-0.047267,0.047415,1.342336,-0.124556,0.433789,1.252065,-0.097807,0.069805,1.283229,-0.093113,0.050006,1.151161,0.154973,0.846689,1.193799,0.212377,0.692267,1.270557,0.167584,0.254269,1.309313,0.051884,0.049226,1.371777,0.139379,0.431161,1.279712,0.107434,0.070150,1.329121,0.100174,0.051363,1.181676,-0.001106,0.894622,1.371183
36,0.360000,-0.109400,0.853831,1.165412,-0.197691,0.683122,1.240555,-0.157287,0.276695,1.269431,-0.047278,0.047266,1.342232,-0.125468,0.433621,1.252253,-0.097776,0.069588,1.283227,-0.093154,0.049839,1.151143,0.153518,0.846853,1.193544,0.211076,0.692406,1.270105,0.166984,0.254554,1.308913,0.051789,0.049271,1.371674,0.138366,0.431278,1.278894,0.107340,0.070228,1.329047,0.100104,0.051249,1.181601,-0.002643,0.894492,1.370884
